,features,ids
50,"[-0.00908101 -0.07785669  0.09481037 -0.03971516 -0.04366698  0.07162502
 -0.09198725 -0.04831455  0.15229742  0.125451   -0.02270269 -0.08559365
  0.13752924 -0.09722315 -0.06659459  0.05119784  0.05817216 -0.08798011
  0.08902449 -0.08833217 -0.03456352 -0.0692514  -0.03803194  0.12209755
  0.11131831 -0.04325801 -0.06210323  0.05325371  0.15700014 -0.04409332
  0.03393981  0.00925367  0.05241072  0.05625751  0.01666384 -0.02196928
  0.01831338 -0.05657962  0.07015023  0.08258677 -0.06024507 -0.05687752
  0.0916638  -0.04636088  0.06428795  0.03297044 -0.02792265 -0.08936812
 -0.03950371  0.2421696   0.00469968  0.02354069 -0.0492     -0.02517174
 -0.02034232  0.2835957   0.09884345 -0.11124875 -0.07784623 -0.08915371
 -0.14160435  0.24032028 -0.04509278 -0.07511108 -0.05553443  0.13039643
 -0.00115909 -0.0298829   0.0070646  -0.02992666 -0.07963683  0.07772297
  0.09373814 -0.06627094 -0.01318356  0.11091224  0.05057469  0.03867444
  0.03840209  0.10400777 -0.05245526 -0.01319508 -0.09271787 -0.04839173
 -0.06868172 -0.06256174 -0.08790202  0.08969894 -0.09154323  0.11088209
 -0.01184326 -0.07770699  0.2729969   0.02625012 -0.02245631  0.08831269
 -0.06634569  0.01476764 -0.00208766 -0.13897233  0.06666955  0.00976009
  0.04065824 -0.02092917  0.21555418 -0.03799553 -0.09593669  0.00079609
 -0.02096721  0.07705441  0.0637007  -0.05005664  0.08339538  0.13541979
  0.00568286 -0.03903615 -0.00655954 -0.0650287  -0.09343895 -0.0943895
 -0.00771262  0.03086768 -0.07441308  0.05025152  0.000943    0.20274085
  0.19143079 -0.06672204]",[0. 1. 0. 0. 0. 0. 0. 0.]
51,"[-0.00908101 -0.07785669  0.09481037 -0.03971516 -0.04366698  0.07162502
 -0.09198725 -0.04831455  0.15229742  0.125451   -0.02270269 -0.08559365
  0.13752924 -0.09722315 -0.06659459  0.05119784  0.05817216 -0.08798011
  0.08902449 -0.08833217 -0.03456352 -0.0692514  -0.03803194  0.12209755
  0.11131831 -0.04325801 -0.06210323  0.05325371  0.15700014 -0.04409332
  0.03393981  0.00925367  0.05241072  0.05625751  0.01666384 -0.02196928
  0.01831338 -0.05657962  0.07015023  0.08258677 -0.06024507 -0.05687752
  0.0916638  -0.04636088  0.06428795  0.03297044 -0.02792265 -0.08936812
 -0.03950371  0.2421696   0.00469968  0.02354069 -0.0492     -0.02517174
 -0.02034232  0.2835957   0.09884345 -0.11124875 -0.07784623 -0.08915371
 -0.14160435  0.24032028 -0.04509278 -0.07511108 -0.05553443  0.13039643
 -0.00115909 -0.0298829   0.0070646  -0.02992666 -0.07963683  0.07772297
  0.09373814 -0.06627094 -0.01318356  0.11091224  0.05057469  0.03867444
  0.03840209  0.10400777 -0.05245526 -0.01319508 -0.09271787 -0.04839173
 -0.06868172 -0.06256174 -0.08790202  0.08969894 -0.09154323  0.11088209
 -0.01184326 -0.07770699  0.2729969   0.02625012 -0.02245631  0.08831269
 -0.06634569  0.01476764 -0.00208766 -0.13897233  0.06666955  0.00976009
  0.04065824 -0.02092917  0.21555418 -0.03799553 -0.09593669  0.00079609
 -0.02096721  0.07705441  0.0637007  -0.05005664  0.08339538  0.13541979
  0.00568286 -0.03903615 -0.00655954 -0.0650287  -0.09343895 -0.0943895
 -0.00771262  0.03086768 -0.07441308  0.05025152  0.000943    0.20274085
  0.19143079 -0.06672204]",[0. 0. 1. 0. 0. 0. 0. 0.]
52,"[-0.00804919 -0.07269007  0.0879594  -0.03774625 -0.04408098  0.04980891
 -0.09712183 -0.05113779  0.14787722  0.10204402  0.00304635 -0.08762267
  0.11578433 -0.09977927 -0.07064816  0.04213165  0.06477568 -0.08955677
  0.11080233 -0.08373674 -0.04276488 -0.06784564 -0.04243817  0.12439038
  0.11911852 -0.04352164 -0.05378744  0.02794657  0.17803665 -0.05167251
  0.03684901  0.02306069  0.03802742  0.05043814  0.01976998 -0.01353081
  0.01521543 -0.05044195  0.08375199  0.06322214 -0.05891599 -0.0590856
  0.08493655 -0.0553219   0.05622127  0.01677918 -0.02281517 -0.09552886
 -0.03368328  0.24497978 -0.01359218  0.02539564 -0.04701459 -0.02588682
 -0.02586661  0.28749892  0.08323053 -0.11863714 -0.07366072 -0.09175529
 -0.14711219  0.23859397 -0.03281096 -0.0767799  -0.0610128   0.13748272
 -0.01046931 -0.02884065  0.00201485 -0.03445029 -0.07940817  0.05765223
  0.09538733 -0.07684608 -0.00793137  0.07021908  0.06392578  0.042295
  0.04933276  0.09885318 -0.05130154 -0.00962582 -0.09497483 -0.03462785
 -0.06769708 -0.07279035 -0.08820852  0.07717127 -0.09249473  0.14173946
 -0.02012215 -0.07921094  0.26514143  0.03401162 -0.00333143  0.07879069
 -0.07037426  0.00660634  0.00312051 -0.14574094  0.07367116 -0.00080339
  0.03011288 -0.04149558  0.20482585 -0.06082397 -0.0999543  -0.00310756
  0.00195031  0.06357691  0.07687337 -0.05740638  0.06873778  0.1496712
 -0.00909818 -0.04503383  0.00055441 -0.05714878 -0.09826057 -0.09806592
  0.01073973  0.03001031 -0.0784733   0.04968313 -0.00829433  0.19762693
  0.20137163 -0.06418596]",[0. 1. 0. 0. 0. 0. 0. 0.]
53,"[-0.00804919 -0.07269007  0.0879594  -0.03774625 -0.04408098  0.04980891
 -0.09712183 -0.05113779  0.14787722  0.10204402  0.00304635 -0.08762267
  0.11578433 -0.09977927 -0.07064816  0.04213165  0.06477568 -0.08955677
  0.11080233 -0.08373674 -0.04276488 -0.06784564 -0.04243817  0.12439038
  0.11911852 -0.04352164 -0.05378744  0.02794657  0.17803665 -0.05167251
  0.03684901  0.02306069  0.03802742  0.05043814  0.01976998 -0.01353081
  0.01521543 -0.05044195  0.08375199  0.06322214 -0.05891599 -0.0590856
  0.08493655 -0.0553219   0.05622127  0.01677918 -0.02281517 -0.09552886
 -0.03368328  0.24497978 -0.01359218  0.02539564 -0.04701459 -0.02588682
 -0.02586661  0.28749892  0.08323053 -0.11863714 -0.07366072 -0.09175529
 -0.14711219  0.23859397 -0.03281096 -0.0767799  -0.0610128   0.13748272
 -0.01046931 -0.02884065  0.00201485 -0.03445029 -0.07940817  0.05765223
  0.09538733 -0.07684608 -0.00793137  0.07021908  0.06392578  0.042295
  0.04933276  0.09885318 -0.05130154 -0.00962582 -0.09497483 -0.03462785
 -0.06769708 -0.07279035 -0.08820852  0.07717127 -0.09249473  0.14173946
 -0.02012215 -0.07921094  0.26514143  0.03401162 -0.00333143  0.07879069
 -0.07037426  0.00660634  0.00312051 -0.14574094  0.07367116 -0.00080339
  0.03011288 -0.04149558  0.20482585 -0.06082397 -0.0999543  -0.00310756
  0.00195031  0.06357691  0.07687337 -0.05740638  0.06873778  0.1496712
 -0.00909818 -0.04503383  0.00055441 -0.05714878 -0.09826057 -0.09806592
  0.01073973  0.03001031 -0.0784733   0.04968313 -0.00829433  0.19762693
  0.20137163 -0.06418596]",[0. 0. 1. 0. 0. 0. 0. 0.]
54,"[-0.00811113 -0.07209857  0.10175295 -0.03181612 -0.04121054  0.05787375
 -0.0950036  -0.04128374  0.14636198  0.09104547 -0.00837119 -0.08228806
  0.11954182 -0.09953979 -0.07422473  0.04635512  0.0587701  -0.08956048
  0.10693562 -0.08681064 -0.03985351 -0.06244898 -0.04331526  0.12299629
  0.10884646 -0.04846737 -0.05826798  0.03770916  0.17325321 -0.04391553
  0.02330368  0.0300097   0.04871475  0.04651574  0.00825229 -0.01786374
  0.02191523 -0.04951698  0.07463554  0.06653298 -0.06108968 -0.06224209
  0.0743376  -0.05422289  0.06038501  0.01534682 -0.03462948 -0.09275623
 -0.03231739  0.23826782 -0.00804136  0.04517823 -0.04776912 -0.02044695
 -0.03022696  0.2982262   0.08270285 -0.13023148 -0.06639848 -0.09130117
 -0.14271381  0.23847711 -0.03484357 -0.07220569 -0.06094138  0.14526738
 -0.0056162  -0.03163724  0.00377432 -0.03449012 -0.07177339  0.05770289
  0.09505526 -0.07449355 -0.00678879  0.07428423  0.06750388  0.03874098
  0.05096731  0.09175816 -0.04528729 -0.00732787 -0.09533887 -0.04277688
 -0.06255005 -0.06710615 -0.08730245  0.0817145  -0.09225095  0.11836058
 -0.02513624 -0.07846104  0.2762619   0.02635201 -0.00985937  0.08771954
 -0.06122923 -0.00381222  0.00563498 -0.14765297  0.06911512  0.00121676
  0.03324367 -0.03247759  0.19398886 -0.05164186 -0.09773295  0.00551909
 -0.01636811  0.07628435  0.07880046 -0.05360501  0.07176646  0.15780874
 -0.00350337 -0.03575509  0.00926139 -0.06172533 -0.09636748 -0.09704577
  0.01665412  0.0252951  -0.07249758  0.04048225  0.0014535   0.20952208
  0.20847146 -0.06504229]",[0. 1. 0. 0. 0. 0. 0. 0.]
55,"[-0.00811113 -0.07209857  0.10175295 -0.03181612 -0.04121054  0.05787375
 -0.0950036  -0.04128374  0.14636198  0.09104547 -0.00837119 -0.08228806
  0.11954182 -0.09953979 -0.07422473  0.04635512  0.0587701  -0.08956048
  0.10693562 -0.08681064 -0.03985351 -0.06244898 -0.04331526  0.12299629
  0.10884646 -0.04846737 -0.05826798  0.03770916  0.17325321 -0.04391553
  0.02330368  0.0300097   0.04871475  0.04651574  0.00825229 -0.01786374
  0.02191523 -0.04951698  0.07463554  0.06653298 -0.06108968 -0.06224209
  0.0743376  -0.05422289  0.06038501  0.01534682 -0.03462948 -0.09275623
 -0.03231739  0.23826782 -0.00804136  0.04517823 -0.04776912 -0.02044695
 -0.03022696  0.2982262   0.08270285 -0.13023148 -0.06639848 -0.09130117
 -0.14271381  0.23847711 -0.03484357 -0.07220569 -0.06094138  0.14526738
 -0.0056162  -0.03163724  0.00377432 -0.03449012 -0.07177339  0.05770289
  0.09505526 -0.07449355 -0.00678879  0.07428423  0.06750388  0.03874098
  0.05096731  0.09175816 -0.04528729 -0.00732787 -0.09533887 -0.04277688
 -0.06255005 -0.06710615 -0.08730245  0.0817145  -0.09225095  0.11836058
 -0.02513624 -0.07846104  0.2762619   0.02635201 -0.00985937  0.08771954
 -0.06122923 -0.00381222  0.00563498 -0.14765297  0.06911512  0.00121676
  0.03324367 -0.03247759  0.19398886 -0.05164186 -0.09773295  0.00551909
 -0.01636811  0.07628435  0.07880046 -0.05360501  0.07176646  0.15780874
 -0.00350337 -0.03575509  0.00926139 -0.06172533 -0.09636748 -0.09704577
  0.01665412  0.0252951  -0.07249758  0.04048225  0.0014535   0.20952208
  0.20847146 -0.06504229]",[0. 0. 1. 0. 0. 0. 0. 0.]
56,"[ 0.01080168 -0.07969662  0.08676526 -0.04179155 -0.04225179  0.05653324
 -0.09726777 -0.0297628   0.15004662  0.12128352 -0.01363306 -0.0760549
  0.12842426 -0.10057875 -0.07110518  0.06151027  0.06507432 -0.09238095
  0.11255856 -0.08702037 -0.038932   -0.06147198 -0.03011131  0.11722922
  0.10544723 -0.06208622 -0.0637254   0.04372246  0.1664742  -0.04988081
  0.02228488  0.01575758  0.05114833  0.04248469  0.02487949 -0.01151185
  0.01313179 -0.04927463  0.0717343   0.06534301 -0.05612041 -0.06521386
  0.09012339 -0.04777992  0.07326356  0.01362976 -0.01594453 -0.09334405
 -0.02183005  0.244833   -0.00632035  0.02613113 -0.04584853 -0.02919116
 -0.0127532   0.30098656  0.07160265 -0.11342861 -0.06996036 -0.09009545
 -0.14278637  0.24566722 -0.04060713 -0.0599819  -0.06077811  0.15084365
 -0.01847781 -0.03545054 -0.01437916 -0.0292814  -0.08026487  0.05550658
  0.09585507 -0.07508521  0.0053944   0.09087825  0.05280381  0.03751263
  0.05143229  0.09003873 -0.0438485  -0.02033933 -0.09663963 -0.03637871
 -0.07156869 -0.06467532 -0.0919967   0.08332711 -0.09495126  0.12210546
 -0.0034299  -0.08282215  0.2785618   0.0418046   0.01034544  0.08834109
 -0.07154249  0.00078689 -0.00391847 -0.13466914  0.04221251  0.00617321
  0.03750408 -0.03501912  0.20494117 -0.04257039 -0.09828489 -0.00746381
 -0.00627931  0.09073776  0.06760657 -0.05801445  0.0576032   0.13042274
  0.00144967 -0.03666532 -0.00404533 -0.05442147 -0.09812237 -0.09674025
  0.01223279  0.01734808 -0.06702351  0.02541652  0.00048971  0.19186366
  0.208989   -0.06665409]",[0. 1. 0. 0. 0. 0. 0. 0.]
57,"[ 0.01080168 -0.07969662  0.08676526 -0.04179155 -0.04225179  0.05653324
 -0.09726777 -0.0297628   0.15004662  0.12128352 -0.01363306 -0.0760549
  0.12842426 -0.10057875 -0.07110518  0.06151027  0.06507432 -0.09238095
  0.11255856 -0.08702037 -0.038932   -0.06147198 -0.03011131  0.11722922
  0.10544723 -0.06208622 -0.0637254   0.04372246  0.1664742  -0.04988081
  0.02228488  0.01575758  0.05114833  0.04248469  0.02487949 -0.01151185
  0.01313179 -0.04927463  0.0717343   0.06534301 -0.05612041 -0.06521386
  0.09012339 -0.04777992  0.07326356  0.01362976 -0.01594453 -0.09334405
 -0.02183005  0.244833   -0.00632035  0.02613113 -0.04584853 -0.02919116
 -0.0127532   0.30098656  0.07160265 -0.11342861 -0.06996036 -0.09009545
 -0.14278637  0.24566722 -0.04060713 -0.0599819  -0.06077811  0.15084365
 -0.01847781 -0.03545054 -0.01437916 -0.0292814  -0.08026487  0.05550658
  0.09585507 -0.07508521  0.0053944   0.09087825  0.05280381  0.03751263
  0.05143229  0.09003873 -0.0438485  -0.02033933 -0.09663963 -0.03637871
 -0.07156869 -0.06467532 -0.0919967   0.08332711 -0.09495126  0.12210546
 -0.0034299  -0.08282215  0.2785618   0.0418046   0.01034544  0.08834109
 -0.07154249  0.00078689 -0.00391847 -0.13466914  0.04221251  0.00617321
  0.03750408 -0.03501912  0.20494117 -0.04257039 -0.09828489 -0.00746381
 -0.00627931  0.09073776  0.06760657 -0.05801445  0.0576032   0.13042274
  0.00144967 -0.03666532 -0.00404533 -0.05442147 -0.09812237 -0.09674025
  0.01223279  0.01734808 -0.06702351  0.02541652  0.00048971  0.19186366
  0.208989   -0.06665409]",[0. 0. 1. 0. 0. 0. 0. 0.]
58,"[ 0.00483306 -0.0791763   0.08776529 -0.04411791 -0.04562939  0.0539671
 -0.09763954 -0.0321458   0.14725846  0.11903422 -0.00784289 -0.08204833
  0.13201798 -0.10015451 -0.07588983  0.05560556  0.06035707 -0.09295694
  0.11270206 -0.08385859 -0.03582975 -0.05973007 -0.03079972  0.1234265
  0.10374528 -0.06062885 -0.06201213  0.03711498  0.16872081 -0.05164815
  0.0146263   0.01068629  0.05759737  0.04594409  0.02218969 -0.01091233
  0.00995927 -0.04879264  0.07439259  0.06738657 -0.0551162  -0.06792539
  0.08025017 -0.04696019  0.06954066  0.00884039 -0.02590968 -0.09348473
 -0.0277771   0.24394797 -0.00426474  0.02949147 -0.04299029 -0.03098135
 -0.01001083  0.30474752  0.07873649 -0.11473874 -0.0683094  -0.09070566
 -0.1426082   0.241377   -0.0363326  -0.0589329  -0.065084    0.15134634
 -0.01488454 -0.03618099 -0.01374397 -0.03206621 -0.07861101  0.05300608
  0.09374119 -0.0736307  -0.00082605  0.09247456  0.05436941  0.03471258
  0.04640871  0.09265782 -0.04299139 -0.01868228 -0.09640581 -0.03196563
 -0.07191727 -0.06327854 -0.09139252  0.09085648 -0.09677745  0.125222
 -0.0088511  -0.08078761  0.27725834  0.0387269   0.00309505  0.0888987
 -0.06719445 -0.00550181 -0.00574107 -0.13495901  0.04300235  0.00910421
  0.04269373 -0.03100469  0.2043131  -0.04640852 -0.09813301 -0.01238925
 -0.00956378  0.08714189  0.07010379 -0.05267652  0.05433238  0.13044922
  0.00094581 -0.03362777 -0.01170248 -0.05734143 -0.09707946 -0.09651975
  0.00900563  0.01346738 -0.06745887  0.02679302  0.00671059  0.1939708
  0.20789422 -0.06723807]",[0. 1. 0. 0. 0. 0. 0. 0.]
59,"[ 0.00483306 -0.0791763   0.08776529 -0.04411791 -0.04562939  0.0539671
 -0.09763954 -0.0321458   0.14725846  0.11903422 -0.00784289 -0.08204833
  0.13201798 -0.10015451 -0.07588983  0.05560556  0.06035707 -0.09295694
  0.11270206 -0.08385859 -0.03582975 -0.05973007 -0.03079972  0.1234265
  0.10374528 -0.06062885 -0.06201213  0.03711498  0.16872081 -0.05164815
  0.0146263   0.01068629  0.05759737  0.04594409  0.02218969 -0.01091233
  0.00995927 -0.04879264  0.07439259  0.06738657 -0.0551162  -0.06792539
  0.08025017 -0.04696019  0.06954066  0.00884039 -0.02590968 -0.09348473
 -0.0277771   0.24394797 -0.00426474  0.02949147 -0.04299029 -0.03098135
 -0.01001083  0.30474752  0.07873649 -0.11473874 -0.0683094  -0.09070566
 -0.1426082   0.241377   -0.0363326  -0.0589329  -0.065084    0.15134634
 -0.01488454 -0.03618099 -0.01374397 -0.03206621 -0.07861101  0.05300608
  0.09374119 -0.0736307  -0.00082605  0.09247456  0.05436941  0.03471258
  0.04640871  0.09265782 -0.04299139 -0.01868228 -0.09640581 -0.03196563
 -0.07191727 -0.06327854 -0.09139252  0.09085648 -0.09677745  0.125222
 -0.0088511  -0.08078761  0.27725834  0.0387269   0.00309505  0.0888987
 -0.06719445 -0.00550181 -0.00574107 -0.13495901  0.04300235  0.00910421
  0.04269373 -0.03100469  0.2043131  -0.04640852 -0.09813301 -0.01238925
 -0.00956378  0.08714189  0.07010379 -0.05267652  0.05433238  0.13044922
  0.00094581 -0.03362777 -0.01170248 -0.05734143 -0.09707946 -0.09651975
  0.00900563  0.01346738 -0.06745887  0.02679302  0.00671059  0.1939708
  0.20789422 -0.06723807]",[0. 0. 1. 0. 0. 0. 0. 0.]
60,"[ 6.63080998e-03 -8.50514472e-02  1.06545433e-01 -4.08846624e-02
 -3.01530473e-02  8.12072977e-02 -9.33055729e-02 -3.73377800e-02
  1.48246780e-01  1.20676078e-01 -2.95193885e-02 -7.48721808e-02
  1.27020895e-01 -9.82161164e-02 -6.71219155e-02  7.07078502e-02
  5.88771328e-02 -8.84382501e-02  9.59393233e-02 -8.98327976e-02
 -4.58964109e-02 -6.24613613e-02 -3.15094292e-02  9.22612995e-02
  1.02100782e-01 -6.48174882e-02 -6.43893480e-02  5.32482713e-02
  1.48773909e-01 -4.22102176e-02  2.75399275e-02  1.00932382e-02
  6.24464713e-02  3.04867420e-02  2.76516564e-02 -2.51248647e-02
  1.42096654e-02 -5.31221330e-02  4.96066399e-02  8.20700005e-02
 -6.31220564e-02 -5.63471206e-02  9.83903110e-02 -4.66352738e-02
  6.58840016e-02  1.76844802e-02 -2.03762352e-02 -8.97998288e-02
 -2.81384252e-02  2.43688092e-01  7.96139333e-03  2.35885568e-02
 -4.45990711e-02 -2.13070773e-02 -2.46202834e-02  3.05098891e-01
  7.32926726e-02 -1.07414752e-01 -7.48263970e-02 -8.89380202e-02
 -1.39487550e-01  2.52751142e-01 -4.73834202e-02 -6.84746504e-02
 -5.19903302e-02  1.42979443e-01 -1.19544044e-02 -3.03026475e-02
 -1.20501835e-02 -2.79920287e-02 -8.18635300e-02  7.10420385e-02
  9.61531848e-02 -6.80391788e-02  6.02612412e-03  9.87993926e-02
  4.17954363e-02  3.81556414e-02  5.01085483e-02  8.59601870e-02
 -5.55724092e-02 -2.58553848e-02 -9.45085362e-02 -4.92232926e-02
 -6.60124794e-02 -6.63669035e-02 -9.13262963e-02  8.16694424e-02
 -9.24543887e-02  1.06997609e-01  3.62715125e-03 -8.43865275e-02
  2.91975826e-01  2.99038291e-02  1.19934288e-04  9.13773924e-02
 -7.29610026e-02  2.17816588e-02 -4.27921023e-03 -1.41844675e-01
  3.71884257e-02 -1.25803956e-04  3.08940373e-02 -3.19944918e-02
  2.00759083e-01 -3.16299759e-02 -9.51395258e-02  1.05465269e-02
 -1.21598989e-02  1.00268498e-01  6.65933713e-02 -5.60685024e-02
  7.94759467e-02  1.12513155e-01  1.33855119e-02 -3.49021293e-02
  1.08701549e-02 -5.99597581e-02 -9.63029638e-02 -9.44192111e-02
  1.09137781e-03  2.91170031e-02 -6.51856661e-02  3.16286534e-02
  6.48595393e-03  2.07962587e-01  1.91868633e-01 -7.01981187e-02]",[0. 1. 0. 0. 0. 0. 0. 0.]
61,"[ 6.63080998e-03 -8.50514472e-02  1.06545433e-01 -4.08846624e-02
 -3.01530473e-02  8.12072977e-02 -9.33055729e-02 -3.73377800e-02
  1.48246780e-01  1.20676078e-01 -2.95193885e-02 -7.48721808e-02
  1.27020895e-01 -9.82161164e-02 -6.71219155e-02  7.07078502e-02
  5.88771328e-02 -8.84382501e-02  9.59393233e-02 -8.98327976e-02
 -4.58964109e-02 -6.24613613e-02 -3.15094292e-02  9.22612995e-02
  1.02100782e-01 -6.48174882e-02 -6.43893480e-02  5.32482713e-02
  1.48773909e-01 -4.22102176e-02  2.75399275e-02  1.00932382e-02
  6.24464713e-02  3.04867420e-02  2.76516564e-02 -2.51248647e-02
  1.42096654e-02 -5.31221330e-02  4.96066399e-02  8.20700005e-02
 -6.31220564e-02 -5.63471206e-02  9.83903110e-02 -4.66352738e-02
  6.58840016e-02  1.76844802e-02 -2.03762352e-02 -8.97998288e-02
 -2.81384252e-02  2.43688092e-01  7.96139333e-03  2.35885568e-02
 -4.45990711e-02 -2.13070773e-02 -2.46202834e-02  3.05098891e-01
  7.32926726e-02 -1.07414752e-01 -7.48263970e-02 -8.89380202e-02
 -1.39487550e-01  2.52751142e-01 -4.73834202e-02 -6.84746504e-02
 -5.19903302e-02  1.42979443e-01 -1.19544044e-02 -3.03026475e-02
 -1.20501835e-02 -2.79920287e-02 -8.18635300e-02  7.10420385e-02
  9.61531848e-02 -6.80391788e-02  6.02612412e-03  9.87993926e-02
  4.17954363e-02  3.81556414e-02  5.01085483e-02  8.59601870e-02
 -5.55724092e-02 -2.58553848e-02 -9.45085362e-02 -4.92232926e-02
 -6.60124794e-02 -6.63669035e-02 -9.13262963e-02  8.16694424e-02
 -9.24543887e-02  1.06997609e-01  3.62715125e-03 -8.43865275e-02
  2.91975826e-01  2.99038291e-02  1.19934288e-04  9.13773924e-02
 -7.29610026e-02  2.17816588e-02 -4.27921023e-03 -1.41844675e-01
  3.71884257e-02 -1.25803956e-04  3.08940373e-02 -3.19944918e-02
  2.00759083e-01 -3.16299759e-02 -9.51395258e-02  1.05465269e-02
 -1.21598989e-02  1.00268498e-01  6.65933713e-02 -5.60685024e-02
  7.94759467e-02  1.12513155e-01  1.33855119e-02 -3.49021293e-02
  1.08701549e-02 -5.99597581e-02 -9.63029638e-02 -9.44192111e-02
  1.09137781e-03  2.91170031e-02 -6.51856661e-02  3.16286534e-02
  6.48595393e-03  2.07962587e-01  1.91868633e-01 -7.01981187e-02]",[0. 0. 1. 0. 0. 0. 0. 0.]
62,"[ 0.01233489 -0.08373425  0.10913008 -0.0368794  -0.0440768   0.07327203
 -0.09318355 -0.02579494  0.15138438  0.12758645 -0.03633156 -0.06683178
  0.12752332 -0.09769867 -0.06104702  0.07419042  0.05331752 -0.08837698
  0.09922739 -0.09072757 -0.04955443 -0.06344289 -0.03243383  0.0960272
  0.09933612 -0.06404531 -0.06097528  0.06044002  0.14164801 -0.04403295
  0.02201387  0.01348982  0.0668432   0.02184312  0.02265118 -0.02532856
  0.00189172 -0.05311805  0.04475058  0.07870685 -0.06484966 -0.05526102
  0.0908322  -0.04919848  0.06311667  0.02753493 -0.02344317 -0.08548345
 -0.0319246   0.23921427  0.00846844  0.03583606 -0.0478295  -0.02020173
 -0.02472311  0.3022532   0.08066968 -0.11319952 -0.07200959 -0.0860846
 -0.13724503  0.25121477 -0.05213    -0.07177492 -0.04652894  0.14277332
 -0.0078091  -0.03649891 -0.01726063 -0.02453293 -0.08330478  0.07096218
  0.08903899 -0.06172112  0.00301936  0.10743164  0.04609711  0.04652477
  0.05309451  0.08056857 -0.05592691 -0.02605392 -0.09393311 -0.05686758
 -0.07213506 -0.06151014 -0.08908955  0.09102768 -0.09068919  0.10088523
 -0.00705052 -0.08453675  0.28590655  0.03387531 -0.01333502  0.09700426
 -0.07142323  0.01604902 -0.0068558  -0.14850833  0.02797476  0.00235601
  0.04046807 -0.03578891  0.19682342 -0.02946785 -0.09138931  0.00867926
 -0.0102478   0.10405366  0.06613676 -0.05270379  0.08484998  0.10574026
  0.01398998 -0.04335847  0.01763176 -0.06141647 -0.09358207 -0.0908078
  0.00684338  0.02769872 -0.06320004  0.03107632  0.01324389  0.2271566
  0.1896781  -0.06733631]",[0. 1. 0. 0. 0. 0. 0. 0.]
63,"[ 0.01233489 -0.08373425  0.10913008 -0.0368794  -0.0440768   0.07327203
 -0.09318355 -0.02579494  0.15138438  0.12758645 -0.03633156 -0.06683178
  0.12752332 -0.09769867 -0.06104702  0.07419042  0.05331752 -0.08837698
  0.09922739 -0.09072757 -0.04955443 -0.06344289 -0.03243383  0.0960272
  0.09933612 -0.06404531 -0.06097528  0.06044002  0.14164801 -0.04403295
  0.02201387  0.01348982  0.0668432   0.02184312  0.02265118 -0.02532856
  0.00189172 -0.05311805  0.04475058  0.07870685 -0.06484966 -0.05526102
  0.0908322  -0.04919848  0.06311667  0.02753493 -0.02344317 -0.08548345
 -0.0319246   0.23921427  0.00846844  0.03583606 -0.0478295  -0.02020173
 -0.02472311  0.3022532   0.08066968 -0.11319952 -0.07200959 -0.0860846
 -0.13724503  0.25121477 -0.05213    -0.07177492 -0.04652894  0.14277332
 -0.0078091  -0.03649891 -0.01726063 -0.02453293 -0.08330478  0.07096218
  0.08903899 -0.06172112  0.00301936  0.10743164  0.04609711  0.04652477
  0.05309451  0.08056857 -0.05592691 -0.02605392 -0.09393311 -0.05686758
 -0.07213506 -0.06151014 -0.08908955  0.09102768 -0.09068919  0.10088523
 -0.00705052 -0.08453675  0.28590655  0.03387531 -0.01333502  0.09700426
 -0.07142323  0.01604902 -0.0068558  -0.14850833  0.02797476  0.00235601
  0.04046807 -0.03578891  0.19682342 -0.02946785 -0.09138931  0.00867926
 -0.0102478   0.10405366  0.06613676 -0.05270379  0.08484998  0.10574026
  0.01398998 -0.04335847  0.01763176 -0.06141647 -0.09358207 -0.0908078
  0.00684338  0.02769872 -0.06320004  0.03107632  0.01324389  0.2271566
  0.1896781  -0.06733631]",[0. 0. 1. 0. 0. 0. 0. 0.]
